Manga Title,Tag Name
A Certain Magical Index,"Sci-Fi, Loli, Action, Romance, Comedy, Magic, Harem, Gore, Drama, Fantasy, Slice of Life, Supernatural, Mystery, Adaptation"
ちひろさん,"Comedy, Slice of Life"
Aitai Jou to Usagi no Yamai,"Romance, Boys' Love, Drama, Fantasy"
"It's a Secret, Shirotae-sama","Girls' Love, School Life, Fantasy, Vampires"
The Defectives,"Sci-Fi, Official Colored, Action, Long Strip, Romance, Mecha, Boys' Love, Mafia, Military, Gore, Drama, Delinquents, Web Comic, Adaptation"
"They Ridiculed Me for My Luckless Job, but It's Not Actually That Bad?","Reincarnation, Action, Demons, Adventure, Magic, Harem, Isekai, Drama, Fantasy, Adaptation"
Hero Party Comic,"Action, Long Strip, Comedy, Adventure, Video Games, Fantasy, Full Color"
A Witch's Love at the End of the World,"Romance, Magic, Girls' Love, Drama, School Life, Fantasy"
Amano Megumi Is Full of Openings!,"Romance, Comedy, Sports, Drama, School Life, Slice of Life"
They are Still Being Shaken This Morning,"Romance, Comedy, Drama, School Life, Slice of Life"
Let's do Birdwatching,"Animals, Girls' Love, 4-Koma, School Life, Slice of Life"
The Abandoned Elf is the Strongest and Cutest in the World!,"Reincarnation, Girls' Love, Isekai, Drama, Fantasy, Adaptation"
"Please Step on Me, My Prince!","Long Strip, Comedy, Boys' Love, Drama, Slice of Life, Full Color"
Worn-Out Romance,"Long Strip, Romance, Boys' Love, Drama, Full Color"
One Billion Yen Thing. ~Yoshiwara's Top Oiran~,"Psychological, Romance, Sexual Violence, Drama"
Revenge of the Baskerville Bloodhound,"Time Travel, Action, Long Strip, Adventure, Magic, Harem, Fantasy, Mystery, Adaptation, Full Color"
Bullying Time,"Psychological, Drama, School Life, Slice of Life, Tragedy"
EXP is Golden,"Sci-Fi, Monsters, Action, Demons, Comedy, Virtual Reality, Video Games, Magic, Fantasy, Monster Girls, Adaptation"
"When Trying to Get Back at the Hometown Bullies, Another Battle Began.","Romance, Comedy, Harem, School Life"
Or Do You Make Time Leap?,"Romance, Comedy, Slice of Life, Supernatural"
Confession,"Long Strip, Romance, Drama, Medical, Web Comic, Full Color"
The Hunter's Gonna Lay Low,"Time Travel, Monsters, Action, Long Strip, Romance, Boys' Love, Survival, Superhero, Drama, Fantasy, Full Color"
My Older Sister's Friend Is Annoying,"Romance, Comedy, Slice of Life"
A Magical Girl? I Saw in a Dream,"Genderswap, Comedy, Boys' Love, Magical Girls, Crossdressing, Web Comic"
Introducing My Manager,"Long Strip, Romance, Boys' Love, Full Color"
"Me and the Prez, Drinking Under the Stars","Romance, Comedy, Office Workers, Slice of Life"
"I Summoned the Devil to Grant Me a Wish, but I Married Her Instead Since She was Adorable: My New Devil Wife","Demons, Romance, Comedy, Adventure, Magic, Fantasy, Shota, Slice of Life, Adaptation"
My Wife Is a Half-Dragon,"Monsters, Action, Long Strip, Romance, Comedy, Adventure, Fantasy, Web Comic, Full Color"
Hana ni Arashi,"Romance, Boys' Love, Drama"
The Journey of a Dark Elf with Fading Powers,"Action, Adventure, Magic, Fantasy, Monster Girls"
Yǒu Shòu Xìhuà,"Animals, Long Strip, Comedy, 4-Koma, Full Color"
Ajisai*Planet,"4-Koma, Slice of Life"
A Sniper from Another World is Turned into The Female Warrior's Fluffy Pet,"Reincarnation, Monsters, Action, Demons, Comedy, Adventure, Sexual Violence, Harem, Isekai, Fantasy"
Fruits Basket,"Award Winning, Animals, Romance, Comedy, Reverse Harem, Drama, School Life, Slice of Life, Supernatural, Tragedy"
Kinu-chan no Koui Shitsu,"Comedy, Slice of Life"
Jin ~Anime Guardian of the Spirit Side Story~,"Action, Martial Arts, Adventure, Fantasy"
History of the Kingdom of Orcsen: How the Barbarian Orcish Nation Came to Burn Down the Peaceful Elfland,"Reincarnation, Action, Magic, Military, Isekai, Drama, Fantasy, Adaptation, Tragedy"
Daily Chaldea,"Self-Published, Doujinshi, Web Comic, Slice of Life"
"Stella, the Princess Who Will Never Die","Reincarnation, Monsters, Action, Comedy, Survival, Adventure, Magic, Isekai, Gore, Drama, Horror, Fantasy, Supernatural, Mystery"
Star Dream Idol Project,"Long Strip, Romance, Comedy, Drama, School Life, Web Comic, Slice of Life, Music, Full Color"
Eastern Strange Legend of Wise Spirits: Cheating Detective Satori,"Crime, Magic, Drama, Fantasy, Supernatural, Mystery"
Burning Blood,"Action, Romance, Crime, Sports, Mafia, Military, Drama, School Life, Delinquents, Slice of Life, Music"
To Marry My Husband,"Reincarnation, Psychological, Long Strip, Romance, Drama, Web Comic, Adaptation, Full Color"
Reborn as a Barrier Master,"Reincarnation, Action, Romance, Adventure, Sexual Violence, Magic, Harem, Isekai, Gore, Drama, Fantasy, Adaptation, Tragedy"
Spirited Away Eden,"Thriller, Monsters, Romance, Incest, Adventure, Harem, Drama, School Life, Supernatural, Mystery"
The Apothecary Diaries,"Award Winning, Historical, Romance, Drama, Medical, Mystery, Adaptation"
Dara-san of Reiwa,"Comedy, Crossdressing, Gore, Horror, Monster Girls, Shota, Slice of Life, Supernatural, Mystery"
Red Blue,"Action, Comedy, Sports, Martial Arts, School Life"
FIRESNAKE,"Long Strip, Romance, Boys' Love, Slice of Life"
"Hoa Wants To Be ""Disciplined"" (Doujinshi for ""Ba Bị"")",
They Really Like This Sort of Relationship,"Comedy, Girls' Love, School Life, Web Comic, Slice of Life, Full Color"
Yaergnacht of the Dark Moon,"Action, Demons, Ghosts, Romance, Harem, Fantasy, Supernatural"
Chicano KEI: The Japanese Who Survived the U.S. Maximum Security Prison,"Action, Crime, Martial Arts, Delinquents"
Kinato's Magic,"Action, Comedy, Adventure, Magic, Fantasy"
The Blood Princess and the Knight,"Genderswap, Action, Psychological, Long Strip, Adventure, Drama, Fantasy, Vampires, Web Comic, Full Color, Tragedy"
I Have No Home,"Award Winning, Ghosts, Long Strip, Comedy, Drama, School Life, Web Comic, Slice of Life, Full Color"
"The Boy Who Became the Goddess' Proxy, and Became the King of the Board","Action, Adventure, Magic, Fantasy, Adaptation"
A Little Sister with Squishy Cheeks,"Comedy, Web Comic, Slice of Life"
You Still Call Yourselves Teachers!?,"Romance, Comedy, Harem, Drama, School Life, Slice of Life"
Over Rev!,"Action, Sports, Slice of Life"
I Kept Spoiling a Female Knight Who Knew Nothing but Fighting,"Romance, Comedy, Fantasy, Slice of Life"
Homunculus,"Psychological, Sexual Violence, Philosophical, Gore, Drama, Horror, Supernatural, Mystery, Tragedy"
War Chronicles of the Stone God,"Historical, Monsters, Action, Romance, Drama, Fantasy, Monster Girls"
Have Fun! Its the End of the World!,"Sci-Fi, Survival, Adventure, Post-Apocalyptic, Fantasy, Slice of Life, Mystery"
Duck Leeks are Poisonous: Professor Kamo's Lecture on Human Economics,"Psychological, Office Workers, Philosophical, Drama"
Lord El-Melloi II Case Files,"Monsters, Action, Psychological, Adventure, Magic, Drama, Slice of Life, Supernatural, Mystery, Adaptation"
